STATECD,UNITCD,COUNTYCD,COUNTYNM,CN,CREATED_DATE,MODIFIED_DATE
8,1,13,Boulder,22010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,1,19,Clear Creek,25010690,2002-07-02 09:20:57,
8,1,35,Douglas,33010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,1,39,Elbert,35010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,1,41,El Paso,36010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,1,47,Gilpin,39010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,1,59,Jefferson,45010690,2002-07-02 09:20:57,
8,1,65,Lake,48010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,1,69,Larimer,50010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,1,93,Park,62010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,1,119,Teller,75010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,2,15,Chaffee,23010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,2,23,Costilla,27010690,2002-07-02 09:20:57,
8,2,27,Custer,29010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,2,43,Fremont,37010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,2,55,Huerfano,43010690,2002-07-02 09:20:57,
8,2,71,Las Animas,51010690,2002-07-02 09:20:57,
8,2,101,Pueblo,66010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,3,3,Alamosa,17010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,3,21,Conejos,26010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,3,37,Eagle,34010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,3,49,Grand,40010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,3,51,Gunnison,41010690,2002-07-02 09:20:57,
8,3,53,Hinsdale,42010690,2002-07-02 09:20:57,
8,3,57,Jackson,44010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,3,79,Mineral,55010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,3,97,Pitkin,64010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,3,105,Rio Grande,68010690,2002-07-02 09:20:57,
8,3,107,Routt,69010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,3,109,Saguache,70010690,2002-07-02 09:20:57,
8,3,111,San Juan,71010690,2002-07-02 09:20:57,
8,3,117,Summit,74010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,4,7,Archuleta,19010690,2002-07-02 09:20:57,
8,4,29,Delta,30010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,4,33,Dolores,32010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,4,45,Garfield,38010690,2002-07-02 09:20:57,
8,4,67,La Plata,49010690,2002-07-02 09:20:57,
8,4,77,Mesa,54010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,4,81,Moffat,56010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,4,83,Montezuma,57010690,2002-07-02 09:20:57,
8,4,85,Montrose,58010690,2002-07-02 09:20:57,
8,4,91,Ouray,61010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,4,103,Rio Blanco,67010690,2002-07-02 09:20:57,
8,4,113,San Miguel,72010690,2002-07-02 09:20:57,
8,5,1,Adams,16010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,5,5,Arapahoe,18010690,2002-07-02 09:20:57,
8,5,9,Baca,20010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,5,11,Bent,21010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,5,17,Cheyenne,24010690,2002-07-02 09:20:57,
8,5,25,Crowley,28010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,5,31,Denver,31010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,5,61,Kiowa,46010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,5,63,Kit Carson,47010690,2002-07-02 09:20:57,
8,5,73,Lincoln,52010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,5,75,Logan,53010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,5,87,Morgan,59010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,5,89,Otero,60010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,5,95,Phillips,63010690,2002-07-02 09:20:57,
8,5,99,Prowers,65010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,5,115,Sedgwick,73010690,2002-07-02 09:20:57,
8,5,121,Washington,76010690,2002-07-02 09:20:57,
8,5,123,Weld,77010690,2002-07-02 09:20:57,2005-03-22 11:16:35
8,5,125,Yuma,78010690,2002-07-02 09:20:57,2005-03-22 11:16:35
